,pobre,area,casal,genero,raca,escolaridade,atividade,aposentadoria,dom_tipo,agua_adeq,esgoto_ad,banheiro,paredes,casa_tipo,geladeira,maquina_lavar,tv,computador,internet,carro,moto,idade,n_moradores,n_criancas,n_adultos,densidade,fone_pc
77,0,urbano,solteiro,homem,preto ou pardo,fundam incompleto,inativo,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,sim,nao,nao,51,2,0,2,0.333333333333333,1.0
78,1,urbano,casado,mulher,preto ou pardo,fundam incompleto,inativo,nao,casa,adequada,adequado,sim,adequada,alugado,sim,nao,sim,nao,nao,nao,nao,29,6,4,2,1.0,0.5
79,1,urbano,casado,homem,preto ou pardo,fundam completo,inativo,nao,casa,adequada,adequado,sim,adequada,alugado,sim,sim,sim,nao,sim,nao,sim,34,4,2,3,0.666666666666667,0.666666666666667
80,0,urbano,casado,mulher,preto ou pardo,superior incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,cedido,sim,sim,sim,sim,sim,nao,sim,29,3,1,2,0.6,1.0
81,0,urbano,casado,homem,preto ou pardo,medio incompleto,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,nao,sim,nao,sim,nao,nao,18,2,0,2,0.5,0.5
82,0,urbano,casado,mulher,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,cedido,sim,sim,sim,sim,sim,nao,sim,53,3,0,3,0.75,1.0
83,0,urbano,casado,homem,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,sim,sim,sim,sim,nao,nao,35,4,2,2,0.8,1.0
84,0,urbano,casado,homem,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,cedido,sim,sim,sim,nao,sim,nao,nao,22,6,1,5,2.0,0.6
85,0,urbano,casado,mulher,branco,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,cedido,sim,nao,sim,nao,sim,nao,nao,24,2,0,2,0.222222222222222,1.0
86,0,urbano,solteiro,mulher,preto ou pardo,sem instrucao,ativo desocupado,nao,casa,adequada,adequado,sim,adequada,cedido,sim,nao,sim,nao,nao,nao,nao,58,1,0,1,0.25,1.0
87,0,urbano,casado,mulher,preto ou pardo,medio completo,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,sim,sim,sim,nao,73,2,0,2,0.285714285714286,1.0
88,0,urbano,solteiro,mulher,preto ou pardo,fundam incompleto,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,sim,sim,nao,nao,nao,nao,88,1,0,1,0.166666666666667,0.0
89,0,urbano,casado,mulher,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,nao,sim,nao,nao,60,3,0,3,0.333333333333333,0.666666666666667
90,0,urbano,solteiro,homem,preto ou pardo,sem instrucao,inativo,sim,casa,adequada,adequado,sim,adequada,proprio pago,sim,nao,sim,nao,nao,nao,nao,78,2,0,2,0.5,0.0
91,0,urbano,solteiro,mulher,preto ou pardo,medio completo,ativo ocupado,nao,casa,adequada,adequado,sim,adequada,alugado,sim,sim,sim,nao,sim,nao,nao,61,1,0,1,0.25,1.0
